Region,Year,Class Type,ROI,Number of Buildings,Occupied,Absorption YTD,New Supply YTD,Direct Vacancy,Sublease Vacancy,Under Construction,Tenant Inducements
Montreal,2011,A,0.1,,32303128,579560,187181,2307229,409036,634642,
Montreal,2012,A,0.08,,32309302,52555,353965,2609575,483135,1581613,
Montreal,2013,A,0.08,,32314695,5393,678781,2869355,896743,1730547,
Montreal,2014,A,0.12,,33492685,-241755,915071,4018696,1084792,1563967,
Montreal,2015,A,0.12,,33700015,-116627,630067,4477727,1019955,2130512,
Montreal,2016,A,0.08,,35053385,888820,975594,4565530,714105,1648200,
Montreal,2017,A,0.04,,36372905,1568323,1353200,4460749,603763,1738796,
Montreal,2018,A,0.09,,36937641,374519,201043,4042595,848441,1764770,
Montreal,2019,A,0.05,,37726058,815190,173699,3544338,579501,2096702,
Montreal,2020,A,0.11,,37849625,217708,814791,3698993,815667,2497931,
Montreal,2011,B,0,,29772969,430640,0,2715073,153681,0,
Montreal,2012,B,0.05,,29394997,-150235,0,2642441,417509,0,
Montreal,2013,B,0.09,,29107380,-304584,0,3015185,349349,0,
Montreal,2014,B,0.05,,29104738,-420469,220931,3752763,253171,81897,
Montreal,2015,B,-0.01,,28662970,-406650,37897,4096055,354426,44000,
Montreal,2016,B,-0.01,,28274451,-674456,42310,4549637,286456,0,
Montreal,2017,B,-0.06,,28666544,366271,0,4247132,222690,0,
Montreal,2018,B,-0.01,,28324229,-326617,0,4568352,228087,25000,
Montreal,2019,B,0.07,,29424693,889919,0,3765521,181611,325716,
Montreal,2020,B,0.07,,28561033,-871900,25000,4284363,527054,226942,
Montreal,2011,RC,,,,,,,,,
Montreal,2012,RC,1,,3182320,-1043990,0,1553120,16719,0,
Montreal,2013,RC,1.4,,4056722,-303301,0,1867652,5488,0,
Montreal,2014,RC,0.72,,4736509,693837,0,1607144,33159,370920,
Montreal,2015,RC,0.73,,5409216,119248,0,1548208,19847,450920,
Montreal,2016,RC,1.1,,5677807,268591,283575,1565510,17529,635245,
Montreal,2017,RC,1.37,,6570023,779500,635245,1323147,115637,0,
Montreal,2018,RC,1.83,,7999436,427457,0,960169,51158,105000,
Montreal,2019,RC,0.69,,8475574,212239,0,800505,77790,217683,
Montreal,2020,RC,0.99,,7855447,-684159,145000,900368,294761,285257,
Edmonton,2011,AA,0.93,7,3554759,379852,580188,454889,23789,0,28.78
Edmonton,2012,AA,1.08,7,3644738,89979,0,372353,16346,0,28.98
Edmonton,2013,AA,0.87,7,3618820,-25918,0,398635,15982,595000,28.98
Edmonton,2014,AA,0.47,5,2616417,19048,0,381295,11730,1175000,30
Edmonton,2015,AA,0.45,5,2657385,19346,0,335238,38441,1775000,30
Edmonton,2016,AA,0.52,7,3475589,818204,1115056,639614,30917,600000,0
Edmonton,2017,AA,0.4,7,3480911,-8191,0,598017,67192,600000,0
Edmonton,2018,AA,0.6,7,3763839,719020,650527,377181,44458,0,45
Edmonton,2019,AA,0.48,7,3572052,-191787,0,479452,133974,0,45
Edmonton,2020,AA,0.27,7,3532799,-39253,0,391980,260699,0,45
Edmonton,2011,A,0.58,70,10299832,322323,75516,807334,62780,502320,28.78
Edmonton,2012,A,0.4,74,10691928,351776,258884,709086,68136,1321034,28.98
Edmonton,2013,A,0.29,81,10774164,82236,429965,986235,138716,1012878,28.98
Edmonton,2014,A,0.34,71,9910379,230026,407876,767286,224125,622785,30
Edmonton,2015,A,0.33,75,9942269,62400,76970,791967,272265,282185,30
